actual,proposed
0.0,0.05027526989579201
0.0,0.05416511744260788
0.05735292285680771,0.057892974466085434
0.06851090490818024,0.06148702651262283
0.07520212233066559,0.062493402510881424
0.07749313861131668,0.06118222326040268
0.09288216382265091,0.06768668442964554
0.1037522628903389,0.07128455489873886
0.11017131805419922,0.07229895889759064
0.11656320840120316,0.07347603142261505
0.11857152730226517,0.07231265306472778
0.1293351948261261,0.07646869868040085
0.131296306848526,0.07547460496425629
0.133297860622406,0.0748186707496643
0.13969850540161133,0.07692275196313858
0.1417182832956314,0.07653538137674332
0.15249602496623993,0.08134160190820694
0.15447445213794708,0.08089321851730347
0.15649643540382385,0.08069595694541931
0.14984267950057983,0.07575372606515884
0.14770986139774323,0.0739639401435852
0.14567187428474426,0.07248633354902267
0.1480841338634491,0.07374624162912369
0.13744661211967468,0.0675409659743309
0.12265827506780624,0.05958119407296181
0.10812894254922867,0.05247238278388977
0.09820716083049774,0.0
0.08410287648439407,0.0
0.07022862136363983,0.0
0.043496787548065186,0.0
0.025873618200421333,0.0
0.012862449511885643,0.0
